                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79494,                0.85546,                 1.1902,                0.93454,                0.92572,                0.96248,                0.77875,                0.73324,                0.45438,                 1.1566,               0.008845,               0.008845,               0.008845
                     37,                0.78108,                0.84733,                 1.1844,                0.92487,                0.93847,                0.95981,                0.78734,                0.73164,                0.47658,                 1.1532,               0.008812,               0.008812,               0.008812
                     38,                0.77237,                0.83262,                 1.1806,                0.94257,                0.92929,                0.96474,                0.78037,                0.73432,                 0.4507,                 1.1445,               0.008779,               0.008779,               0.008779
                     39,                0.76565,                0.83632,                 1.1712,                0.96565,                0.90259,                0.95566,                0.77943,                 0.7209,                0.45755,                 1.1238,               0.008746,               0.008746,               0.008746
                     40,                0.76284,                0.80274,                 1.1681,                0.93846,                0.93755,                0.96953,                0.79117,                0.72984,                0.43031,                  1.125,               0.008713,               0.008713,               0.008713
                     41,                0.75595,                0.80671,                 1.1675,                0.93586,                 0.9325,                0.96836,                0.77873,                0.73445,                0.44957,                  1.142,                0.00868,                0.00868,                0.00868
                     42,                0.75027,                0.80254,                 1.1617,                0.95676,                0.94097,                0.97168,                0.79231,                0.72441,                0.42437,                 1.1279,               0.008647,               0.008647,               0.008647
                     43,                0.74739,                 0.7991,                 1.1646,                0.95919,                 0.9365,                0.97289,                0.78401,                0.75512,                 0.4191,                 1.1582,               0.008614,               0.008614,               0.008614
                     44,                0.73559,                0.77236,                 1.1548,                 0.9546,                0.92241,                0.97139,                0.79516,                0.72406,                 0.4302,                 1.1251,               0.008581,               0.008581,               0.008581
                     45,                0.73152,                0.75131,                   1.15,                0.95987,                0.93261,                0.97218,                0.79336,                0.71044,                0.40319,                 1.1268,               0.008548,               0.008548,               0.008548
                     46,                0.72503,                0.76311,                 1.1514,                0.96088,                0.90839,                 0.9622,                0.79678,                0.71021,                0.43504,                 1.1021,               0.008515,               0.008515,               0.008515
                     47,                0.71663,                0.75676,                 1.1335,                0.97136,                0.92143,                0.96781,                0.80433,                0.69869,                 0.3945,                 1.1145,               0.008482,               0.008482,               0.008482
                     48,                0.72058,                0.74223,                 1.1408,                0.93162,                0.94833,                0.96539,                0.79696,                0.70049,                0.40854,                 1.1143,               0.008449,               0.008449,               0.008449
                     49,                0.72804,                0.75501,                 1.1486,                0.95945,                0.92686,                0.97023,                0.79999,                 0.7032,                0.42303,                 1.1135,               0.008416,               0.008416,               0.008416
                     50,                0.72182,                0.75679,                 1.1448,                0.95589,                0.93342,                0.96845,                0.80153,                0.68699,                0.39815,                  1.103,               0.008383,               0.008383,               0.008383
                     51,                0.72192,                0.75104,                  1.144,                0.96236,                0.92521,                0.96259,                0.79608,                0.68896,                0.42208,                  1.118,                0.00835,                0.00835,                0.00835
                     52,                0.70949,                0.74288,                 1.1426,                0.96896,                 0.9272,                0.96766,                0.80059,                0.68697,                0.41294,                  1.109,               0.008317,               0.008317,               0.008317
                     53,                0.71584,                0.73959,                 1.1421,                0.97499,                0.94427,                0.97537,                0.80446,                0.69789,                0.37321,                 1.1161,               0.008284,               0.008284,               0.008284
                     54,                0.70301,                0.72219,                 1.1319,                0.96744,                0.94205,                0.97591,                0.81263,                0.67244,                0.37016,                   1.12,               0.008251,               0.008251,               0.008251
                     55,                0.70021,                0.72247,                 1.1314,                0.97632,                0.93075,                0.97245,                0.80047,                 0.6847,                0.37987,                  1.099,               0.008218,               0.008218,               0.008218
                     56,                0.70135,                0.72271,                 1.1301,                0.97193,                0.95252,                0.96947,                0.80348,                0.66918,                0.37556,                 1.0917,               0.008185,               0.008185,               0.008185
                     57,                0.68798,                0.71558,                 1.1236,                0.96387,                0.95332,                0.97142,                0.81045,                0.66889,                0.37159,                 1.0842,               0.008152,               0.008152,               0.008152
                     58,                0.68968,                0.70714,                 1.1212,                0.96434,                0.95686,                0.97405,                0.80244,                0.69886,                0.37577,                 1.1255,               0.008119,               0.008119,               0.008119
                     59,                0.68042,                0.67542,                 1.1185,                0.96463,                0.94056,                0.97498,                0.81649,                0.68048,                 0.3755,                  1.101,               0.008086,               0.008086,               0.008086
                     60,                0.68305,                0.70449,                 1.1138,                0.96301,                0.93383,                0.97356,                0.80382,                0.69786,                0.38543,                 1.1152,               0.008053,               0.008053,               0.008053
