                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.64864,                0.68516,                 1.1212,                0.97472,                0.94231,                 0.9705,                0.80707,                0.68424,                0.38315,                 1.1378,             0.00016887,             0.00016887,             0.00016887
                     38,                 0.6463,                0.67021,                 1.1185,                0.96711,                0.95568,                0.97613,                0.81658,                0.66864,                0.36496,                 1.1258,             0.00015723,             0.00015723,             0.00015723
                     39,                0.63419,                0.64162,                 1.1127,                0.96474,                0.92359,                0.97327,                0.81835,                  0.667,                0.36328,                 1.1352,             0.00014559,             0.00014559,             0.00014559
                     40,                0.62121,                0.64539,                 1.1045,                0.96789,                0.95528,                0.97787,                0.82352,                0.66549,                0.35264,                 1.1306,             0.00013395,             0.00013395,             0.00013395
                     41,                0.58567,                0.51123,                 1.0972,                0.97737,                0.95561,                 0.9798,                0.81802,                0.66925,                0.34729,                 1.1434,              0.0001223,              0.0001223,              0.0001223
                     42,                0.56684,                0.48885,                 1.0751,                0.96614,                0.94942,                0.97365,                0.82268,                0.65305,                0.35251,                 1.1318,             0.00011066,             0.00011066,             0.00011066
                     43,                0.54934,                 0.4638,                 1.0604,                0.97768,                0.96037,                0.97838,                0.83454,                0.65745,                0.34382,                  1.124,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     44,                0.52361,                0.44065,                 1.0465,                0.96544,                0.96795,                0.97966,                0.83125,                 0.6545,                0.33062,                 1.1284,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     45,                0.52469,                0.44696,                 1.0558,                0.96556,                0.97212,                0.98299,                0.83334,                0.63536,                0.31859,                 1.1155,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     46,                 0.5047,                0.42368,                 1.0338,                0.98573,                0.94892,                0.98183,                0.83916,                0.63249,                0.32141,                   1.11,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     47,                 0.4891,                0.40628,                 1.0231,                0.96313,                 0.9739,                0.98175,                0.83304,                0.63317,                0.32139,                 1.1088,              5.245e-05,              5.245e-05,              5.245e-05
                     48,                0.48063,                0.39645,                 1.0164,                0.97282,                 0.9639,                0.98036,                0.83738,                0.62774,                0.31777,                 1.1098,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     49,                0.46317,                0.38127,                 1.0065,                0.96511,                0.96912,                0.98122,                0.84109,                0.61989,                 0.3079,                 1.1025,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     50,                0.45339,                 0.3724,                 0.9999,                0.96137,                0.96942,                0.97973,                 0.8391,                 0.6203,                0.30748,                  1.102,             1.7522e-05,             1.7522e-05,             1.7522e-05
