                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7524,                0.81532,                 1.1897,                0.96574,                0.91935,                 0.9635,                0.79601,                0.70594,                0.43314,                 1.1481,             0.00039008,             0.00039008,             0.00039008
                     36,                 0.7612,                 0.8311,                 1.2043,                0.96971,                0.93337,                0.96727,                0.78708,                0.72088,                0.42103,                 1.1725,             0.00038426,             0.00038426,             0.00038426
                     37,                0.73151,                0.79827,                 1.1808,                0.95008,                0.93896,                0.97084,                0.79453,                0.70513,                0.42037,                 1.1572,             0.00037844,             0.00037844,             0.00037844
                     38,                0.72987,                0.78622,                 1.1738,                0.97305,                0.92319,                0.97071,                0.80198,                0.69261,                0.41671,                 1.1315,             0.00037262,             0.00037262,             0.00037262
                     39,                0.71127,                0.75805,                 1.1639,                0.95237,                0.94554,                0.96445,                0.78916,                 0.7195,                0.42717,                 1.1638,             0.00036679,             0.00036679,             0.00036679
                     40,                0.71593,                0.76521,                 1.1669,                0.95394,                0.93518,                0.97266,                0.79739,                0.71909,                0.40786,                 1.1592,             0.00036097,             0.00036097,             0.00036097
                     41,                0.71055,                0.76208,                 1.1678,                0.95055,                0.91652,                0.96676,                0.79305,                0.72642,                0.43011,                 1.1824,             0.00035515,             0.00035515,             0.00035515
                     42,                0.69849,                0.74979,                 1.1568,                0.95515,                0.92535,                0.96682,                0.80062,                0.70084,                0.42096,                  1.162,             0.00034933,             0.00034933,             0.00034933
                     43,                0.69039,                0.71882,                 1.1467,                0.97359,                0.94032,                0.96713,                0.78988,                0.73829,                0.41071,                 1.1864,             0.00034351,             0.00034351,             0.00034351
                     44,                0.68132,                0.72075,                 1.1448,                 0.9736,                0.93483,                0.97175,                0.80639,                0.69808,                0.37067,                 1.1605,             0.00033769,             0.00033769,             0.00033769
                     45,                0.66966,                0.69529,                 1.1382,                0.95126,                0.92252,                0.96554,                0.80569,                0.67608,                0.40903,                 1.1434,             0.00033187,             0.00033187,             0.00033187
                     46,                0.66166,                0.68458,                 1.1254,                 0.9593,                0.92492,                0.97031,                0.79521,                0.71185,                0.41806,                 1.1648,             0.00032605,             0.00032605,             0.00032605
                     47,                0.67373,                0.70867,                 1.1322,                0.96089,                0.93353,                0.97143,                0.81238,                0.66279,                0.39148,                 1.1191,             0.00032022,             0.00032022,             0.00032022
