Student,Device,DateTime,VideoFile,Timestamp,Confidence,Prediction,Location
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_08.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_10.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_12.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_14.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_16.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_18.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_20.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_22.25,0.6863784790039062, Beer3, 573.99:271.01:185.36:224.23
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_24.25,0.6874843239784241, Beer3, 573.94:271.02:185.27:224.2
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_26.25,0.7212161421775818, Beer3, 573.44:270.69:185.27:224.69
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_28.25,0.5811465978622437, Beer3, 574.42:271.01:186.15:224.33
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_30.25,0.5811465978622437, Beer3, 574.42:271.01:186.15:224.33
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_32.25,0.5811465978622437, Beer3, 574.42:271.01:186.15:224.33
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_34.25,0.5811465978622437, Beer3, 574.42:271.01:186.15:224.33
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_01_34.75,0.5774500966072083, Beer3, 574.42:271.01:186.15:224.33
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_02_34.50,0.7960696816444397, Beer3, 573.47:270.63:185.2:224.78
SWIS69, Laptop, Sep_15_2023_0920_AM_Auckland_Wellington, GMT20230914-212005_Recording_as_1298x730.mp4,00_02_34.75,0.7962753772735596, Beer3, 573.47:270.63:185.2:224.78
SWIS69, Laptop, Sep_15_2023_0938_AM_Auckland_Wellington, GMT20230914-213825_Recording_as_1298x730.mp4,00_01_37.75,0.37709444761276245, WineBottle1, 541.47:114.74:141.03:86.42
SWIS69, Laptop, Sep_15_2023_0938_AM_Auckland_Wellington, GMT20230914-213825_Recording_as_1298x730.mp4,00_01_39.75,0.2390661984682083, WineBottle1, 541.46:114.86:140.98:86.21
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_01_08.50,0.31038275361061096, WineBottle1, 754.38:224.25:91.07:448.5
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_01_09.00,0.31038275361061096, WineBottle1, 754.38:224.25:91.07:448.5
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_02_41.50,0.40325918793678284, WineBottle1, 746.65:384.51:106.7:101.82
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_35.00,0.6746088862419128, BeerBottle, 169.61:257.16:89.92:152.15
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_36.25,0.6046589612960815, BeerBottle, 169.94:257.08:90.97:152.17
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_40.50,0.24063697457313538, WineBottle2, 408.95:149.58:293.92:35.11
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_49.25,0.767214834690094, WineBottle1, 718.64:390.9:162.7:114.59
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_49.50,0.5495548248291016, WineBottle1, 707.77:391.02:184.46:114.69
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_03_49.75,0.5495548248291016, WineBottle1, 707.77:391.02:184.46:114.69
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_06_01.75,0.3773690164089203, BeerBottle, 457.38:313.42:680.35:271.16
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_06_09.25,0.35564571619033813, BeerBottle, 446.15:308.18:693.34:281.64
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_06_10.75,0.657723605632782, BeerBottle, 430.03:305.67:719.68:286.66
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_09_06.25,0.24414990842342377, WineBottle2, 439.35:390.96:711.66:116.09
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_09_06.50,0.24414990842342377, WineBottle2, 439.35:390.96:711.66:116.09
SWIS69, Laptop, Sep_14_2023_0819_AM_Auckland_Wellington, GMT20230913-201920_Recording_as_1298x730.mp4,00_09_49.75,0.5886433720588684, WineBottle2, 408.96:147.17:293.07:39.78
SacredHeart25-Copy1, Phone, VALID, 1.mp4,00_00_02.50,0.298210084438324, WineBottle2, 283.02:81.37:165.92:162.75
SacredHeart25-Copy1, Phone, VALID, 1.mp4,00_00_03.00,0.35112038254737854, Cocktail3, 427.61:153.57:44.64:149.15
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_05_04.00,0.469199001789093, WineBottle2, 325.46:530.64:190.53:58.14
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_05_12.50,0.3761952221393585, WineBottle2, 324.59:531.15:192.5:60.62
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_05_14.75,0.32895416021347046, WineBottle2, 324.22:528.23:192.97:63.61
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_05_14.50,0.6783059239387512, WineBottle2, 324.62:532.09:192.72:57.6
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_06_08.50,0.7652468085289001, Red-Solo-Cups, 323.31:393.32:87.04:39.75
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_06_09.50,0.5127530097961426, Red-Solo-Cups, 322.86:393.13:85.16:38.65
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_06_09.25,0.7645128965377808, Red-Solo-Cups, 323.32:393.3:87.06:39.78
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_06_10.00,0.5631579160690308, Red-Solo-Cups, 322.82:392.9:84.95:38.4
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_07_21.75,0.20860205590724945, WineBottle1, 353.26:731.47:197.77:55.07
PAPA63, Laptop, Aug_3_2023_1107_AM_Auckland_Wellington, GMT20230802-230737_Recording_1686x1600 (1).mp4,00_07_23.75,0.22795656323432922, WineBottle1, 353.45:731.49:197.38:55.01
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_41_07.50,0.5085808038711548, WineBottle2, 408.16:144.29:292.28:44.02
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_42_06.50,0.30751538276672363, WineBottle1, 533.16:232.2:265.22:169.77
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_42_35.00,0.754494309425354, WineBottle1, 492.51:218.82:338.62:123.93
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_42_35.00,0.49386945366859436, WineBottle1, 385.01:223.07:558.9:109.52
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_42_57.50,0.24249999225139618, WineBottle1, 395.44:222.15:383.33:71.0
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_42_57.75,0.24249999225139618, WineBottle1, 395.44:222.15:383.33:71.0
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_45_00.25,0.2879961133003235, WineBottle1, 258.48:230.28:429.79:74.92
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_45_00.00,0.2716832756996155, WineBottle1, 292.56:230.92:502.87:80.6
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_45_22.25,0.21366912126541138, WineGlass, 353.5:137.8:23.06:131.49
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_49_07.00,0.22504878044128418, WineBottle2, 256.52:317.25:128.24:99.78
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_49_55.00,0.4496086835861206, WineBottle2, 408.5:148.26:291.85:37.39
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_49_56.00,0.5094588398933411, WineBottle2, 408.27:148.49:291.77:36.85
SWIS69, Laptop, Sep_14_2023_0911_AM_Auckland_Wellington, GMT20230913-211143_Recording_1298x730.mp4,00_49_55.75,0.4496086835861206, WineBottle2, 408.5:148.26:291.85:37.39
SWIS69, Laptop, Sep_15_2023_1231_PM_Auckland_Wellington, GMT20230915-003149_Recording_as_1298x730.mp4,00_00_18.25,0.26373961567878723, WineBottle1, 430.48:256.67:738.21:383.98
